Nom;Path;Resp;Appoint
Pointeau;matos->outillage;matos;1
Cagette pliante;matos->manutention;matos;1
Escabeau;matos->manutention;matos;1
Diable;matos->manutention;matos;1
Diable;matos->manutention;matos;1
Echelle 3 brins;matos->manutention;matos;1
Echelle 1 brin;matos->manutention;matos;1
Aspirateur industriel;matos->manutention;matos;1
Serre joint 350mm;matos->cuisine;matos;0
Plaque à induction 2000W;matos->cuisine;matos;0
